id,surah,ayat,terjemah,clean_ayat,topik
[2.3],Al-Baqarah,3,(yaitu) mereka yang beriman kepada yang gaib yang mendirikan shalat dan menafkahkan sebahagian rezki yang Kami anugerahkan kepada mereka,iman gaib diri shalat nafkah sebahagian rezki anugerah,iman
[2.4],Al-Baqarah,4,dan mereka yang beriman kepada Kitab (Al Qur'an) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu serta mereka yakin akan adanya (kehidupan) akhirat.,iman kitab qur turun kepada kitab kitab turun belum hidup akhirat,akhlaq dan adab
[2.4],Al-Baqarah,4,dan mereka yang beriman kepada Kitab (Al Qur'an) yang telah diturunkan kepadamu dan Kitab-kitab yang telah diturunkan sebelummu serta mereka yakin akan adanya (kehidupan) akhirat.,iman kitab qur turun kepada kitab kitab turun belum hidup akhirat,iman
[2.5],Al-Baqarah,5,Mereka itulah yang tetap mendapat petunjuk dari Tuhan mereka dan merekalah orang-orang yang beruntung.,tunjuk tuhan untung,iman
[2.6],Al-Baqarah,6,Sesungguhnya orang-orang kafir sama saja bagi mereka kamu beri peringatan atau tidak kamu beri peringatan mereka tidak akan beriman.,sungguh kafir ingat ingat iman,bangsa bangsa terdahulu
[2.6],Al-Baqarah,6,Sesungguhnya orang-orang kafir sama saja bagi mereka kamu beri peringatan atau tidak kamu beri peringatan mereka tidak akan beriman.,sungguh kafir ingat ingat iman,iman
[2.7],Al-Baqarah,7,Allah telah mengunci-mati hati dan pendengaran mereka dan penglihatan mereka ditutup. Dan bagi mereka siksa yang amat berat.,allah kunci mati hati dengar lihat tutup siksa berat,iman
[2.8],Al-Baqarah,8,Di antara manusia ada yang mengatakan: Kami beriman kepada Allah dan Hari kemudian padahal mereka itu sesungguhnya bukan orang-orang yang beriman.,manusia iman allah sungguh iman,iman
[2.9],Al-Baqarah,9,Mereka hendak menipu Allah dan orang-orang yang beriman pada hal mereka hanya menipu dirinya sendiri sedang mereka tidak sadar.,tipu allah iman tipu sadar,iman
[2.10],Al-Baqarah,10,Dalam hati mereka ada penyakit lalu ditambah Allah penyakitnya dan bagi mereka siksa yang pedih disebabkan mereka berdusta.,hati sakit tambah allah sakit siksa pedih sebab dusta,akhlaq dan adab
[2.10],Al-Baqarah,10,Dalam hati mereka ada penyakit lalu ditambah Allah penyakitnya dan bagi mereka siksa yang pedih disebabkan mereka berdusta.,hati sakit tambah allah sakit siksa pedih sebab dusta,iman
[2.11],Al-Baqarah,11,Dan bila dikatakan kepada mereka: Janganlah kamu membuat kerusakan di muka bumi mereka menjawab: Sesungguhnya kami orang-orang yang mengadakan perbaikan.,rusa muka bumi sungguh ada baik,akhlaq dan adab
[2.11],Al-Baqarah,11,Dan bila dikatakan kepada mereka: Janganlah kamu membuat kerusakan di muka bumi mereka menjawab: Sesungguhnya kami orang-orang yang mengadakan perbaikan.,rusa muka bumi sungguh ada baik,iman
[2.12],Al-Baqarah,12,Ingatlah sesungguhnya mereka itulah orang-orang yang membuat kerusakan tetapi mereka tidak sadar.,ingat sungguh rusa sadar,iman
[2.13],Al-Baqarah,13,Apabila dikatakan kepada mereka: Berimanlah kamu sebagaimana orang-orang lain telah beriman mereka menjawab: Akan berimankah kami sebagaimana orang-orang yang bodoh itu telah beriman? Ingatlah sesungguhnya merekalah orang-orang yang bodoh tetapi mereka tidak tahu.,rim iman rim bodoh iman ingat sungguh bodoh,iman
[2.14],Al-Baqarah,14,Dan bila mereka berjumpa dengan orang-orang yang beriman mereka mengatakan: Kami telah beriman. Dan bila mereka kembali kepada syaitan-setan mereka mereka mengatakan: Sesungguhnya kami sependirian dengan kamu kami hanyalah berolok-olok.,jumpa iman iman syaitan setan sungguh diri olok olok,akhlaq dan adab
[2.14],Al-Baqarah,14,Dan bila mereka berjumpa dengan orang-orang yang beriman mereka mengatakan: Kami telah beriman. Dan bila mereka kembali kepada syaitan-setan mereka mereka mengatakan: Sesungguhnya kami sependirian dengan kamu kami hanyalah berolok-olok.,jumpa iman iman syaitan setan sungguh diri olok olok,iman
[2.15],Al-Baqarah,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,allah balas olok olok biar terombang ambing sesat,akhlaq dan adab
[2.15],Al-Baqarah,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,allah balas olok olok biar terombang ambing sesat,ilmu
[2.15],Al-Baqarah,15,Allah akan (membalas) olok-olokan mereka dan membiarkan mereka terombang-ambing dalam kesesatan mereka.,allah balas olok olok biar terombang ambing sesat,iman
[2.16],Al-Baqarah,16,Mereka itulah orang yang membeli kesesatan dengan petunjuk maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.,beli sesat tunjuk untung niaga tunjuk,alquran
[2.16],Al-Baqarah,16,Mereka itulah orang yang membeli kesesatan dengan petunjuk maka tidaklah beruntung perniagaan mereka dan tidaklah mereka mendapat petunjuk.,beli sesat tunjuk untung niaga tunjuk,iman
[2.17],Al-Baqarah,17,Perumpamaan mereka adalah seperti orang yang menyalakan api maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat.,umpama nyala api api rang keliling allah hilang cahaya sari biar gelap,alquran
[2.17],Al-Baqarah,17,Perumpamaan mereka adalah seperti orang yang menyalakan api maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat.,umpama nyala api api rang keliling allah hilang cahaya sari biar gelap,ilmu
[2.17],Al-Baqarah,17,Perumpamaan mereka adalah seperti orang yang menyalakan api maka setelah api itu menerangi sekelilingnya Allah hilangkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan tidak dapat melihat.,umpama nyala api api rang keliling allah hilang cahaya sari biar gelap,iman
[2.18],Al-Baqarah,18,Mereka tuli bisu dan buta maka tidaklah mereka akan kembali (ke jalan yang benar).,tuli bisu buta jalan,alquran
[2.18],Al-Baqarah,18,Mereka tuli bisu dan buta maka tidaklah mereka akan kembali (ke jalan yang benar).,tuli bisu buta jalan,iman
[2.19],Al-Baqarah,19,atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput kafir,alquran
[2.19],Al-Baqarah,19,atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput kafir,bangsa bangsa terdahulu
[2.19],Al-Baqarah,19,atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput kafir,ilmu
[2.19],Al-Baqarah,19,atau seperti (orang-orang yang ditimpa) hujan lebat dari langit disertai gelap gulita guruh dan kilat mereka menyumbat telinganya dengan anak jarinya karena (mendengar suara) petir sebab takut akan mati. Dan Allah meliputi orang-orang yang kafir.,timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput kafir,iman
[2.20],Al-Baqarah,20,Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti. Jika Allah menghendaki niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,kilat sambar lihat kilat sari jalan sinar gelap timpa henti allah niscaya lenyap dengar lihat sungguh allah kuasa,alquran
[2.20],Al-Baqarah,20,Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti. Jika Allah menghendaki niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,kilat sambar lihat kilat sari jalan sinar gelap timpa henti allah niscaya lenyap dengar lihat sungguh allah kuasa,bangsa bangsa terdahulu
[2.20],Al-Baqarah,20,Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti. Jika Allah menghendaki niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,kilat sambar lihat kilat sari jalan sinar gelap timpa henti allah niscaya lenyap dengar lihat sungguh allah kuasa,ilmu
[2.20],Al-Baqarah,20,Hampir-hampir kilat itu menyambar penglihatan mereka. Setiap kali kilat itu menyinari mereka mereka berjalan di bawah sinar itu dan bila gelap menimpa mereka mereka berhenti. Jika Allah menghendaki niscaya Dia melenyapkan pendengaran dan penglihatan mereka. Sesungguhnya Allah berkuasa atas segala sesuatu.,kilat sambar lihat kilat sari jalan sinar gelap timpa henti allah niscaya lenyap dengar lihat sungguh allah kuasa,iman
[2.21],Al-Baqarah,21,Hai manusia sembahlah Tuhanmu Yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.,manusia sembah tuhan cipta belum takwa,akhlaq dan adab
[2.21],Al-Baqarah,21,Hai manusia sembahlah Tuhanmu Yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.,manusia sembah tuhan cipta belum takwa,alquran
[2.21],Al-Baqarah,21,Hai manusia sembahlah Tuhanmu Yang telah menciptakanmu dan orang-orang yang sebelummu agar kamu bertakwa.,manusia sembah tuhan cipta belum takwa,iman
[2.22],Al-Baqarah,22,Dialah Yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dia menurunkan air (hujan) dari langit lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah padahal kamu mengetahui.,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buah buah rezeki untuk ada sekutu sekutu allah,alquran
[2.22],Al-Baqarah,22,Dialah Yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dia menurunkan air (hujan) dari langit lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah padahal kamu mengetahui.,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buah buah rezeki untuk ada sekutu sekutu allah,bangsa bangsa terdahulu
[2.22],Al-Baqarah,22,Dialah Yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dia menurunkan air (hujan) dari langit lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah padahal kamu mengetahui.,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buah buah rezeki untuk ada sekutu sekutu allah,ilmu
[2.22],Al-Baqarah,22,Dialah Yang menjadikan bumi sebagai hamparan bagimu dan langit sebagai atap dan Dia menurunkan air (hujan) dari langit lalu Dia menghasilkan dengan hujan itu segala buah-buahan sebagai rezeki untukmu karena itu janganlah kamu mengadakan sekutu-sekutu bagi Allah padahal kamu mengetahui.,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buah buah rezeki untuk ada sekutu sekutu allah,iman
[2.23],Al-Baqarah,23,Dan jika kamu (tetap) dalam keraguan tentang Al Qur'an yang Kami wahyukan kepada hamba Kami (Muhammad) buatlah satu surat (saja) yang semisal Al Qur'an itu dan ajaklah penolong-penolongmu selain Allah jika kamu orang-orang yang benar.,ragu qur wahyu hamba muhammad buat surat qur ajak tolong tolong allah,alquran
[2.23],Al-Baqarah,23,Dan jika kamu (tetap) dalam keraguan tentang Al Qur'an yang Kami wahyukan kepada hamba Kami (Muhammad) buatlah satu surat (saja) yang semisal Al Qur'an itu dan ajaklah penolong-penolongmu selain Allah jika kamu orang-orang yang benar.,ragu qur wahyu hamba muhammad buat surat qur ajak tolong tolong allah,sejarah
[2.24],Al-Baqarah,24,Maka jika kamu tidak dapat membuat (nya) dan pasti kamu tidak akan dapat membuat (nya) peliharalah dirimu dari neraka yang bahan bakarnya manusia dan batu yang disediakan bagi orang-orang kafir.,pelihara diri neraka bahan bakar manusia batu sedia kafir,iman
[2.25],Al-Baqarah,25,Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya. Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu mereka mengatakan: Inilah yang pernah diberikan kepada kami dahulu. Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada istri-istri yang suci dan mereka kekal di dalamnya.,sampai berita gembira iman buat sedia surga surga alir sungai sungai dalam rezeki buah buah surga surga buah buah dalam istri istri suci kekal dalam,bangsa bangsa terdahulu
[2.25],Al-Baqarah,25,Dan sampaikanlah berita gembira kepada mereka yang beriman dan berbuat baik bahwa bagi mereka disediakan surga-surga yang mengalir sungai-sungai di dalamnya. Setiap mereka diberi rezeki buah-buahan dalam surga-surga itu mereka mengatakan: Inilah yang pernah diberikan kepada kami dahulu. Mereka diberi buah-buahan yang serupa dan untuk mereka di dalamnya ada istri-istri yang suci dan mereka kekal di dalamnya.,sampai berita gembira iman buat sedia surga surga alir sungai sungai dalam rezeki buah buah surga surga buah buah dalam istri istri suci kekal dalam,iman
[2.26],Al-Baqarah,26,Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka tetapi mereka yang kafir mengatakan: Apakah maksud Allah menjadikan ini untuk perumpamaan? Dengan perumpamaan itu banyak orang yang disesatkan Allah dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,sungguh allah tiada segan umpama nyamuk rendah iman umpama tuhan kafir maksud allah jadi umpama umpama sesat allah umpama tunjuk sesat allah kecuali fasik,akhlaq dan adab
[2.26],Al-Baqarah,26,Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka tetapi mereka yang kafir mengatakan: Apakah maksud Allah menjadikan ini untuk perumpamaan? Dengan perumpamaan itu banyak orang yang disesatkan Allah dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,sungguh allah tiada segan umpama nyamuk rendah iman umpama tuhan kafir maksud allah jadi umpama umpama sesat allah umpama tunjuk sesat allah kecuali fasik,alquran
[2.26],Al-Baqarah,26,Sesungguhnya Allah tiada segan membuat perumpamaan berupa nyamuk atau yang lebih rendah dari itu. Adapun orang-orang yang beriman maka mereka yakin bahwa perumpamaan itu benar dari Tuhan mereka tetapi mereka yang kafir mengatakan: Apakah maksud Allah menjadikan ini untuk perumpamaan? Dengan perumpamaan itu banyak orang yang disesatkan Allah dan dengan perumpamaan itu (pula) banyak orang yang diberi-Nya petunjuk. Dan tidak ada yang disesatkan Allah kecuali orang-orang yang fasik,sungguh allah tiada segan umpama nyamuk rendah iman umpama tuhan kafir maksud allah jadi umpama umpama sesat allah umpama tunjuk sesat allah kecuali fasik,iman
[2.27],Al-Baqarah,27,(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.,langgar janji allah janji teguh putus perintah allah hubung rusa muka bumi rugi,akhlaq dan adab
[2.27],Al-Baqarah,27,(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.,langgar janji allah janji teguh putus perintah allah hubung rusa muka bumi rugi,bangsa bangsa terdahulu
[2.27],Al-Baqarah,27,(yaitu) orang-orang yang melanggar perjanjian Allah sesudah perjanjian itu teguh dan memutuskan apa yang diperintahkan Allah (kepada mereka) untuk menghubungkannya dan membuat kerusakan di muka bumi. Mereka itulah orang-orang yang rugi.,langgar janji allah janji teguh putus perintah allah hubung rusa muka bumi rugi,iman
[2.28],Al-Baqarah,28,Mengapa kamu kafir kepada Allah padahal kamu tadinya mati lalu Allah menghidupkan kamu kemudian kamu dimatikan dan dihidupkan-Nya kembali kemudian kepada-Nya-lah kamu dikembalikan?,kafir allah mati allah hidup mati hidup kembali,bangsa bangsa terdahulu
[2.28],Al-Baqarah,28,Mengapa kamu kafir kepada Allah padahal kamu tadinya mati lalu Allah menghidupkan kamu kemudian kamu dimatikan dan dihidupkan-Nya kembali kemudian kepada-Nya-lah kamu dikembalikan?,kafir allah mati allah hidup mati hidup kembali,iman
[2.29],Al-Baqarah,29,Dia-lah Allah yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak menuju langit lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.,allah jadi bumi langit jadi tujuh langit maha,alquran
[2.29],Al-Baqarah,29,Dia-lah Allah yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak menuju langit lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.,allah jadi bumi langit jadi tujuh langit maha,bangsa bangsa terdahulu
[2.29],Al-Baqarah,29,Dia-lah Allah yang menjadikan segala yang ada di bumi untuk kamu dan Dia berkehendak menuju langit lalu dijadikan-Nya tujuh langit. Dan Dia Maha Mengetahui segala sesuatu.,allah jadi bumi langit jadi tujuh langit maha,iman
[2.30],Al-Baqarah,30,Ingatlah ketika Tuhanmu berfirman kepada para malaikat: Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi. Mereka berkata: Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah padahal kami senantiasa bertasbih dengan memuji Engkau dan menyucikan Engkau? Tuhan berfirman: Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.,ingat tuhan firman malaikat sungguh jadi khalifah muka bumi engkau jadi khalifah bumi rusa tumpah darah senantiasa tasbih puji engkau suci engkau tuhan firman sungguh tahu,alquran
[2.30],Al-Baqarah,30,Ingatlah ketika Tuhanmu berfirman kepada para malaikat: Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi. Mereka berkata: Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah padahal kami senantiasa bertasbih dengan memuji Engkau dan menyucikan Engkau? Tuhan berfirman: Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.,ingat tuhan firman malaikat sungguh jadi khalifah muka bumi engkau jadi khalifah bumi rusa tumpah darah senantiasa tasbih puji engkau suci engkau tuhan firman sungguh tahu,bangsa bangsa terdahulu
[2.30],Al-Baqarah,30,Ingatlah ketika Tuhanmu berfirman kepada para malaikat: Sesungguhnya Aku hendak menjadikan seorang khalifah di muka bumi. Mereka berkata: Mengapa Engkau hendak menjadikan (khalifah) di bumi itu orang yang akan membuat kerusakan padanya dan menumpahkan darah padahal kami senantiasa bertasbih dengan memuji Engkau dan menyucikan Engkau? Tuhan berfirman: Sesungguhnya Aku mengetahui apa yang tidak kamu ketahui.,ingat tuhan firman malaikat sungguh jadi khalifah muka bumi engkau jadi khalifah bumi rusa tumpah darah senantiasa tasbih puji engkau suci engkau tuhan firman sungguh tahu,iman
[2.31],Al-Baqarah,31,Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya kemudian mengemukakannya kepada para Malaikat lalu berfirman: Sebutkanlah kepada-Ku nama benda-benda itu jika kamu memang orang-orang yang benar!,ajar adam nama nama benda benda muka malaikat firman sebut ku nama benda benda,alquran
[2.31],Al-Baqarah,31,Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya kemudian mengemukakannya kepada para Malaikat lalu berfirman: Sebutkanlah kepada-Ku nama benda-benda itu jika kamu memang orang-orang yang benar!,ajar adam nama nama benda benda muka malaikat firman sebut ku nama benda benda,bangsa bangsa terdahulu
[2.31],Al-Baqarah,31,Dan Dia mengajarkan kepada Adam nama-nama (benda-benda) seluruhnya kemudian mengemukakannya kepada para Malaikat lalu berfirman: Sebutkanlah kepada-Ku nama benda-benda itu jika kamu memang orang-orang yang benar!,ajar adam nama nama benda benda muka malaikat firman sebut ku nama benda benda,iman
[2.32],Al-Baqarah,32,Mereka menjawab: Maha Suci Engkau tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.,maha suci engkau tahu engkau ajar sungguh engkau maha maha bijaksana,akhlaq dan adab
[2.32],Al-Baqarah,32,Mereka menjawab: Maha Suci Engkau tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.,maha suci engkau tahu engkau ajar sungguh engkau maha maha bijaksana,ilmu
[2.32],Al-Baqarah,32,Mereka menjawab: Maha Suci Engkau tidak ada yang kami ketahui selain dari apa yang telah Engkau ajarkan kepada kami sesungguhnya Engkaulah Yang Maha Mengetahui lagi Maha Bijaksana.,maha suci engkau tahu engkau ajar sungguh engkau maha maha bijaksana,iman
[2.33],Al-Baqarah,33,Allah berfirman: Hai Adam beritahukanlah kepada mereka nama-nama benda ini. Maka setelah diberitahukannya kepada mereka nama-nama benda itu Allah berfirman: Bukankah sudah Ku katakan kepadamu bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?,allah firman adam beritahukanlah nama nama benda diberitahukannya nama nama benda allah firman ku kepada sungguh rahasia langit bumi lahir sembunyi,alquran
[2.33],Al-Baqarah,33,Allah berfirman: Hai Adam beritahukanlah kepada mereka nama-nama benda ini. Maka setelah diberitahukannya kepada mereka nama-nama benda itu Allah berfirman: Bukankah sudah Ku katakan kepadamu bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?,allah firman adam beritahukanlah nama nama benda diberitahukannya nama nama benda allah firman ku kepada sungguh rahasia langit bumi lahir sembunyi,bangsa bangsa terdahulu
[2.33],Al-Baqarah,33,Allah berfirman: Hai Adam beritahukanlah kepada mereka nama-nama benda ini. Maka setelah diberitahukannya kepada mereka nama-nama benda itu Allah berfirman: Bukankah sudah Ku katakan kepadamu bahwa sesungguhnya Aku mengetahui rahasia langit dan bumi dan mengetahui apa yang kamu lahirkan dan apa yang kamu sembunyikan?,allah firman adam beritahukanlah nama nama benda diberitahukannya nama nama benda allah firman ku kepada sungguh rahasia langit bumi lahir sembunyi,iman
[2.34],Al-Baqarah,34,Dan (ingatlah) ketika Kami berfirman kepada para malaikat: Sujudlah kamu kepada Adam maka sujudlah mereka kecuali Iblis ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.,ingat firman malaikat sujud adam sujud kecuali iblis enggan takabur golong kafir,akhlaq dan adab
[2.34],Al-Baqarah,34,Dan (ingatlah) ketika Kami berfirman kepada para malaikat: Sujudlah kamu kepada Adam maka sujudlah mereka kecuali Iblis ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.,ingat firman malaikat sujud adam sujud kecuali iblis enggan takabur golong kafir,alquran
[2.34],Al-Baqarah,34,Dan (ingatlah) ketika Kami berfirman kepada para malaikat: Sujudlah kamu kepada Adam maka sujudlah mereka kecuali Iblis ia enggan dan takabur dan adalah ia termasuk golongan orang-orang yang kafir.,ingat firman malaikat sujud adam sujud kecuali iblis enggan takabur golong kafir,bangsa bangsa terdahulu
[2.35],Al-Baqarah,35,Dan Kami berfirman: Hai Adam diamilah oleh kamu dan istrimu surga ini dan makanlah makanan-makanannya yang banyak lagi baik di mana saja yang kamu sukai dan janganlah kamu dekati pohon ini yang menyebabkan kamu termasuk orang-orang yang zalim.,firman adam diam istri surga makan makan makan suka dekat pohon sebab zalim,alquran
[2.35],Al-Baqarah,35,Dan Kami berfirman: Hai Adam diamilah oleh kamu dan istrimu surga ini dan makanlah makanan-makanannya yang banyak lagi baik di mana saja yang kamu sukai dan janganlah kamu dekati pohon ini yang menyebabkan kamu termasuk orang-orang yang zalim.,firman adam diam istri surga makan makan makan suka dekat pohon sebab zalim,bangsa bangsa terdahulu
